method,case_id,category,fake_record,input_chars,input_bytes,delimiter,quotechar,escapechar,expected_valid,ok,row_count,field_count,header_obs,dialect_obs,parsing_obs,writer_obs,dict_obs,sniffer_obs,numeric_obs,unicode_obs,spreadsheet_obs,interoperability,error_class,correct,reason,naive_should_fail,elapsed_s
preserve_original_csv_text_baseline,c01_simple_comma_header,valid_csv,example_user,22,22,",","""",,True,True,,,,,preserved,,,,,,not_tested,not_tested,,True,,False,1.2370292097330093e-06
preserve_original_csv_text_baseline,c02_headerless,valid_csv,test_order,14,14,",","""",,True,True,,,,,preserved,,,,,,not_tested,not_tested,,True,,False,7.920898497104645e-07
preserve_original_csv_text_baseline,c03_quoted_comma,quoting_caveat,sample_address,27,27,",","""",,True,True,,,,,preserved,,,,,,not_tested,not_tested,,True,,True,3.979075700044632e-07
preserve_original_csv_text_baseline,c04_quoted_newline,newline_caveat,example_note,23,23,",","""",,True,True,,,,,preserved,,,,,,not_tested,not_tested,,True,,True,3.708992153406143e-07
preserve_original_csv_text_baseline,c05_doubled_quote,quoting_caveat,example_note,22,22,",","""",,True,True,,,,,preserved,,,,,,not_tested,not_tested,,True,,False,4.940666258335114e-07
preserve_original_csv_text_baseline,c06_escaped_quote,quoting_caveat,example_note,22,22,",","""",\,True,True,,,,,preserved,,,,,,not_tested,not_tested,,True,,False,3.380700945854187e-07
preserve_original_csv_text_baseline,c07_unescaped_quote,quoting_caveat,example_note,21,21,",","""",,True,True,,,,,preserved,,,,,,not_tested,not_tested,,True,,True,2.7404166758060455e-07
preserve_original_csv_text_baseline,c08_ragged_short,ragged_row_caveat,test_product,16,16,",","""",,True,True,,,,,preserved,,,,,,not_tested,not_tested,,True,,False,2.200249582529068e-07
preserve_original_csv_text_baseline,c09_ragged_long,ragged_row_caveat,test_product,14,14,",","""",,True,True,,,,,preserved,,,,,,not_tested,not_tested,,True,,False,3.1618401408195496e-07
preserve_original_csv_text_baseline,c10_duplicate_header,header_caveat,demo_config,10,10,",","""",,True,True,,,,,preserved,,,,,,not_tested,not_tested,,True,,False,2.3189932107925415e-07
preserve_original_csv_text_baseline,c11_empty_vs_missing,header_caveat,synthetic_profile,11,11,",","""",,True,True,,,,,preserved,,,,,,not_tested,not_tested,,True,,False,2.889428287744522e-07
preserve_original_csv_text_baseline,c12_none_empty,writer_policy,demo_config,16,16,",","""",,True,True,,,,,preserved,,,,,,not_tested,not_tested,,True,,False,3.280583769083023e-07
preserve_original_csv_text_baseline,c13_skipinitialspace,dialect_caveat,example_user,16,16,",","""",,True,True,,,,,preserved,,,,,,not_tested,not_tested,,True,,False,2.2887252271175385e-07
preserve_original_csv_text_baseline,c14_blank_line,newline_caveat,test_order,13,13,",","""",,True,True,,,,,preserved,,,,,,not_tested,not_tested,,True,,False,2.2584572434425354e-07
preserve_original_csv_text_baseline,c15_crlf,newline_caveat,test_order,10,10,",","""",,True,True,,,,,preserved,,,,,,not_tested,not_tested,,True,,False,3.310851752758026e-07
preserve_original_csv_text_baseline,c16_lf,newline_caveat,test_order,8,8,",","""",,True,True,,,,,preserved,,,,,,not_tested,not_tested,,True,,False,2.691522240638733e-07
preserve_original_csv_text_baseline,c17_cr,newline_caveat,test_order,8,8,",","""",,True,True,,,,,preserved,,,,,,not_tested,not_tested,,True,,False,2.230517566204071e-07
preserve_original_csv_text_baseline,c18_newline_policy,newline_caveat,demo_config,8,8,",","""",,True,True,,,,,preserved,,,,,,not_tested,not_tested,,True,,False,2.5494955480098724e-07
preserve_original_csv_text_baseline,c19_bom_header,encoding_caveat,example_user,17,19,",","""",,True,True,,,,,preserved,,,,,,not_tested,not_tested,,True,,False,2.4493783712387085e-07
preserve_original_csv_text_baseline,c20_utf8_text,unicode_caveat,example_note,16,20,",","""",,True,True,,,,,preserved,,,,,,not_tested,not_tested,,True,,False,2.400483936071396e-07
preserve_original_csv_text_baseline,c21_unicode_normalization,unicode_caveat,synthetic_profile,15,17,",","""",,True,True,,,,,preserved,,,,,,not_tested,not_tested,,True,,False,3.059394657611847e-07
preserve_original_csv_text_baseline,c22_emoji_field,unicode_caveat,example_note,13,22,",","""",,True,True,,,,,preserved,,,,,,not_tested,not_tested,,True,,False,2.270098775625229e-07
preserve_original_csv_text_baseline,c23_semicolon,dialect_caveat,fake_bank_row,16,16,;,"""",,True,True,,,,,preserved,,,,,,not_tested,not_tested,,True,,True,2.3096799850463867e-07
preserve_original_csv_text_baseline,c24_tab,dialect_caveat,test_product,16,16,	,"""",,True,True,,,,,preserved,,,,,,not_tested,not_tested,,True,,True,2.2491440176963806e-07
preserve_original_csv_text_baseline,c25_pipe,dialect_caveat,test_product,16,16,|,"""",,True,True,,,,,preserved,,,,,,not_tested,not_tested,,True,,True,2.2188760340213776e-07
preserve_original_csv_text_baseline,c26_decimal_comma,numeric_text_caveat,sample_metric,19,19,;,"""",,True,True,,,,,preserved,,,,,,not_tested,not_tested,,True,,False,2.889428287744522e-07
preserve_original_csv_text_baseline,c27_thousands_sep,numeric_text_caveat,toy_invoice,23,23,",","""",,True,True,,,,,preserved,,,,,,not_tested,not_tested,,True,,True,2.3795291781425476e-07
preserve_original_csv_text_baseline,c28_iso_date,numeric_text_caveat,fictional_event,21,21,",","""",,True,True,,,,,preserved,,,,,,not_tested,not_tested,,True,,False,2.230517566204071e-07
preserve_original_csv_text_baseline,c29_formula_injection,spreadsheet_caveat,example_note,21,21,",","""",,True,True,,,,,preserved,,,,,,not_tested,not_tested,,True,,False,2.2491440176963806e-07
preserve_original_csv_text_baseline,c30_excel_auto_date,spreadsheet_caveat,demo_gene_label,16,16,",","""",,True,True,,,,,preserved,,,,,,not_tested,not_tested,,True,,False,2.230517566204071e-07
preserve_original_csv_text_baseline,c31_gene_name,spreadsheet_caveat,demo_gene_label,16,16,",","""",,True,True,,,,,preserved,,,,,,not_tested,not_tested,,True,,False,2.2514723241329193e-07
preserve_original_csv_text_baseline,c32_sniffer_delimiter,sniffer_caveat,test_order,18,18,;,"""",,True,True,,,,,preserved,,,,,,not_tested,not_tested,,True,,False,2.6193447411060333e-07
preserve_original_csv_text_baseline,c33_sniffer_ambiguous,sniffer_caveat,test_order,8,8,",","""",,True,True,,,,,preserved,,,,,,not_tested,not_tested,,True,,False,2.759043127298355e-07
preserve_original_csv_text_baseline,c34_sniffer_header_fp,sniffer_caveat,test_order,21,21,",","""",,True,True,,,,,preserved,,,,,,not_tested,not_tested,,True,,False,2.628657966852188e-07
preserve_original_csv_text_baseline,c35_sniffer_header_fn,sniffer_caveat,test_order,8,8,",","""",,True,True,,,,,preserved,,,,,,not_tested,not_tested,,True,,False,2.2398307919502258e-07
preserve_original_csv_text_baseline,c36_quote_minimal,writer_policy,demo_config,20,20,",","""",,True,True,,,,,preserved,,,,,,not_tested,not_tested,,True,,False,2.330634742975235e-07
preserve_original_csv_text_baseline,c37_quote_all,writer_policy,demo_config,16,16,",","""",,True,True,,,,,preserved,,,,,,not_tested,not_tested,,True,,False,2.2491440176963806e-07
preserve_original_csv_text_baseline,c38_quote_none_escape,writer_policy,example_note,24,24,",","""",\,True,True,,,,,preserved,,,,,,not_tested,not_tested,,True,,False,2.2398307919502258e-07
preserve_original_csv_text_baseline,c39_quote_none_no_escape,writer_policy,example_note,27,27,",","""",,False,True,,,,,preserved,,,,,,not_tested,not_tested,,True,,False,2.2398307919502258e-07
preserve_original_csv_text_baseline,c40_quote_nonnumeric,writer_policy,sample_metric,23,23,",","""",,True,True,,,,,preserved,,,,,,not_tested,not_tested,,True,,False,2.300366759300232e-07
preserve_original_csv_text_baseline,c41_quote_nonnumeric_caveat,writer_policy,sample_metric,30,30,",","""",,True,True,,,,,preserved,,,,,,not_tested,not_tested,,True,,False,2.300366759300232e-07
preserve_original_csv_text_baseline,c42_dictreader_restkey,dictreader_policy,test_product,12,12,",","""",,True,True,,,,,preserved,,,,,,not_tested,not_tested,,True,,False,2.3096799850463867e-07
preserve_original_csv_text_baseline,c43_dictreader_restval,dictreader_policy,test_product,10,10,",","""",,True,True,,,,,preserved,,,,,,not_tested,not_tested,,True,,False,2.561137080192566e-07
preserve_original_csv_text_baseline,c44_dictwriter_raise,dictreader_policy,demo_config,24,24,",","""",,False,True,,,,,preserved,,,,,,not_tested,not_tested,,True,,False,2.558808773756027e-07
preserve_original_csv_text_baseline,c45_dictwriter_ignore,dictreader_policy,demo_config,25,25,",","""",,True,True,,,,,preserved,,,,,,not_tested,not_tested,,True,,False,2.260785549879074e-07
preserve_original_csv_text_baseline,c46_field_size_limit,writer_policy,example_note,23,23,",","""",,True,True,,,,,preserved,,,,,,not_tested,not_tested,,True,,False,2.300366759300232e-07
preserve_original_csv_text_baseline,c47_naive_split,naive_negative,sample_address,27,27,",","""",,True,True,,,,,preserved,,,,,,not_tested,not_tested,,True,,True,2.2398307919502258e-07
preserve_original_csv_text_baseline,c48_naive_linesplit,naive_negative,example_note,23,23,",","""",,True,True,,,,,preserved,,,,,,not_tested,not_tested,,True,,True,2.3096799850463867e-07
preserve_original_csv_text_baseline,c49_naive_locale,naive_negative,sample_metric,19,19,;,"""",,True,True,,,,,preserved,,,,,,not_tested,not_tested,,True,,True,2.367887645959854e-07
preserve_original_csv_text_baseline,c50_schema_not_tested,schema_caveat,toy_invoice,16,16,",","""",,True,True,,,,,preserved,,,,,,not_tested,not_tested,,True,,False,2.2910535335540771e-07
preserve_original_csv_text_baseline,c51_spreadsheet_not_tested,spreadsheet_caveat,fictional_measurement,15,15,",","""",,True,True,,,,,preserved,,,,,,not_tested,not_tested,,True,,False,2.838205546140671e-07
preserve_original_csv_text_baseline,c52_external_not_tested,external_truth_not_tested,test_order,16,16,",","""",,True,True,,,,,preserved,,,,,,not_tested,not_tested,,True,,False,2.300366759300232e-07
csv_reader_default_baseline,c01_simple_comma_header,valid_csv,example_user,22,22,",","""",,True,True,3,2,,,parsed,,,,,,not_tested,not_tested,,True,,False,2.3579923436045647e-05
csv_reader_default_baseline,c02_headerless,valid_csv,test_order,14,14,",","""",,True,True,2,2,,,parsed,,,,,,not_tested,not_tested,,True,,False,6.3069164752960205e-06
csv_reader_default_baseline,c03_quoted_comma,quoting_caveat,sample_address,27,27,",","""",,True,True,2,2,,,parsed,,,,,,not_tested,not_tested,,True,,True,4.878034815192223e-06
csv_reader_default_baseline,c04_quoted_newline,newline_caveat,example_note,23,23,",","""",,True,True,2,2,,,parsed,,,,,,not_tested,not_tested,,True,,True,3.388151526451111e-06
csv_reader_default_baseline,c05_doubled_quote,quoting_caveat,example_note,22,22,",","""",,True,True,2,2,,,parsed,,,,,,not_tested,not_tested,,True,,False,3.0710361897945404e-06
csv_reader_default_baseline,c06_escaped_quote,quoting_caveat,example_note,22,22,",","""",\,True,True,2,2,,,parsed,,,,,,not_tested,not_tested,,True,,False,2.9508955776691437e-06
csv_reader_default_baseline,c07_unescaped_quote,quoting_caveat,example_note,21,21,",","""",,True,True,2,2,,,parsed,,,,,,not_tested,not_tested,,True,,True,2.634013071656227e-06
csv_reader_default_baseline,c08_ragged_short,ragged_row_caveat,test_product,16,16,",","""",,True,True,3,3,,,parsed,,,,,,not_tested,not_tested,,True,,False,3.2349489629268646e-06
csv_reader_default_baseline,c09_ragged_long,ragged_row_caveat,test_product,14,14,",","""",,True,True,3,2,,,parsed,,,,,,not_tested,not_tested,,True,,False,2.772081643342972e-06
csv_reader_default_baseline,c10_duplicate_header,header_caveat,demo_config,10,10,",","""",,True,True,2,2,,,parsed,,,,,,not_tested,not_tested,,True,,False,2.499902620911598e-06
csv_reader_default_baseline,c11_empty_vs_missing,header_caveat,synthetic_profile,11,11,",","""",,True,True,2,3,,,parsed,,,,,,not_tested,not_tested,,True,,False,2.601882442831993e-06
csv_reader_default_baseline,c12_none_empty,writer_policy,demo_config,16,16,",","""",,True,False,,,,,,,,,,,not_tested,not_tested,,True,skip_writer_case,False,6.910413503646851e-07
csv_reader_default_baseline,c13_skipinitialspace,dialect_caveat,example_user,16,16,",","""",,True,True,2,3,,,parsed,,,,,,not_tested,not_tested,,True,,False,3.119930624961853e-06
csv_reader_default_baseline,c14_blank_line,newline_caveat,test_order,13,13,",","""",,True,True,4,2,,,parsed,,,,,,not_tested,not_tested,,True,,False,2.9189977794885635e-06
csv_reader_default_baseline,c15_crlf,newline_caveat,test_order,10,10,",","""",,True,True,2,2,,,parsed,,,,,,not_tested,not_tested,,True,,False,2.8049107640981674e-06
csv_reader_default_baseline,c16_lf,newline_caveat,test_order,8,8,",","""",,True,True,2,2,,,parsed,,,,,,not_tested,not_tested,,True,,False,2.5171320885419846e-06
csv_reader_default_baseline,c17_cr,newline_caveat,test_order,8,8,",","""",,True,True,2,2,,,parsed,,,,,,not_tested,not_tested,,True,,False,2.5259796530008316e-06
csv_reader_default_baseline,c18_newline_policy,newline_caveat,demo_config,8,8,",","""",,True,True,2,2,,,parsed,,,,,,not_tested,not_tested,,True,,False,2.2221356630325317e-06
csv_reader_default_baseline,c19_bom_header,encoding_caveat,example_user,17,19,",","""",,True,True,2,2,,,parsed,,,,,,not_tested,not_tested,,True,,False,3.416091203689575e-06
csv_reader_default_baseline,c20_utf8_text,unicode_caveat,example_note,16,20,",","""",,True,True,2,2,,,parsed,,,,,,not_tested,not_tested,,True,,False,3.4510158002376556e-06
csv_reader_default_baseline,c21_unicode_normalization,unicode_caveat,synthetic_profile,15,17,",","""",,True,True,2,2,,,parsed,,,,,,not_tested,not_tested,,True,,False,3.2349489629268646e-06
csv_reader_default_baseline,c22_emoji_field,unicode_caveat,example_note,13,22,",","""",,True,True,2,2,,,parsed,,,,,,not_tested,not_tested,,True,,False,2.9080547392368317e-06
csv_reader_default_baseline,c23_semicolon,dialect_caveat,fake_bank_row,16,16,;,"""",,True,True,2,1,,,parsed,,,,,,not_tested,not_tested,,True,,True,2.782093361020088e-06
csv_reader_default_baseline,c24_tab,dialect_caveat,test_product,16,16,	,"""",,True,True,2,1,,,parsed,,,,,,not_tested,not_tested,,True,,True,2.4938490241765976e-06
csv_reader_default_baseline,c25_pipe,dialect_caveat,test_product,16,16,|,"""",,True,True,2,1,,,parsed,,,,,,not_tested,not_tested,,True,,True,2.403976395726204e-06
csv_reader_default_baseline,c26_decimal_comma,numeric_text_caveat,sample_metric,19,19,;,"""",,True,True,2,1,,,parsed,,,,,,not_tested,not_tested,,True,,False,5.5551063269376755e-06
csv_reader_default_baseline,c27_thousands_sep,numeric_text_caveat,toy_invoice,23,23,",","""",,True,True,2,2,,,parsed,,,,,,not_tested,not_tested,,True,,True,3.464985638856888e-06
csv_reader_default_baseline,c28_iso_date,numeric_text_caveat,fictional_event,21,21,",","""",,True,True,2,2,,,parsed,,,,,,not_tested,not_tested,,True,,False,2.738088369369507e-06
csv_reader_default_baseline,c29_formula_injection,spreadsheet_caveat,example_note,21,21,",","""",,True,True,2,2,,,parsed,,,,,,not_tested,not_tested,,True,,False,2.666143700480461e-06
csv_reader_default_baseline,c30_excel_auto_date,spreadsheet_caveat,demo_gene_label,16,16,",","""",,True,True,2,2,,,parsed,,,,,,not_tested,not_tested,,True,,False,5.309935659170151e-06
csv_reader_default_baseline,c31_gene_name,spreadsheet_caveat,demo_gene_label,16,16,",","""",,True,True,2,2,,,parsed,,,,,,not_tested,not_tested,,True,,False,5.246838554739952e-06
csv_reader_default_baseline,c32_sniffer_delimiter,sniffer_caveat,test_order,18,18,;,"""",,True,True,3,1,,,parsed,,,,,,not_tested,not_tested,,True,,False,2.902001142501831e-06
